Steps,Policy/Entropy,Policy/Learning Rate,Environment/Lesson,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/GAIL Value Estimate,Policy/Extrinsic Reward,Policy/Curiosity Reward,Policy/GAIL Reward,Environment/Cumulative Reward,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate,Losses/Pretraining Loss
3385137,0.9994424,9.996619e-07,5.0,0.010029812,0.0022474907,2.3931257e-06,0.263594260854526,0.07335980004115429,0.0,0.26359426416011555,3108.8571428571427,0.00018433575,0.023221545,0.0011324497,0.03413213,0.05142398,0.015649091,0.9903554,0.0
3386136,0.99945307,9.996614e-07,5.0,-0.0004840922,0.0022062445,2.2004871e-05,0.05589253815833217,0.06631935512693114,0.0,0.05589253354745522,2903.2916666666665,0.00028456887,0.023703055,0.0010645622,0.03188833,0.049075224,0.014279695,0.9907656,0.0
3387136,0.99946076,9.996612e-07,5.0,-0.00023028652,0.002241252,2.4928524e-05,-0.33567525843822155,0.05783930389868776,0.0,-0.3356752523369915,2450.076923076923,0.0002282379,0.022910045,0.0010876944,0.029926617,0.03643985,0.010505931,0.9920013,0.0
3388136,0.9994535,9.996612e-07,5.0,0.012361528,0.002398435,9.012401e-05,0.5282299891291586,0.08117930479056668,0.0,0.5282299965598953,3719.6875,8.6225045e-05,0.022751864,0.001129864,0.03572183,0.039332703,0.011628545,0.99103004,0.0
3389137,0.9994609,9.996612e-07,5.0,0.007986445,0.0022474574,9.153381e-05,0.2653945274742,0.07364465541123584,0.0,0.26539453047969314,3181.4736842105262,0.00023221273,0.023736808,0.0010642271,0.034184758,0.028898109,0.00907291,0.9941579,0.0
3390136,0.999462,9.996611e-07,5.0,0.0068678255,0.0023889267,3.468185e-05,0.2634749775326647,0.07312482564076264,0.0,0.2634749841700245,3297.814814814815,0.00014565163,0.024666574,0.0011376214,0.034074813,0.04379777,0.010778259,0.98943335,0.0
3391136,0.99945617,9.99661e-07,5.0,0.00860659,0.002297737,-3.2055203e-05,0.05358303691514266,0.07286003841727506,0.0,0.05358303815008042,2889.1875,0.000172472,0.023055702,0.001122125,0.034295276,0.04002092,0.010391896,0.99129665,0.0
3392137,0.9994557,9.99661e-07,5.0,0.008250942,0.0023413138,1.4886152e-05,0.21922500614193502,0.0656971851060535,0.0,0.2192250006106865,2791.2258064516127,0.00025634907,0.02196648,0.0011727408,0.035998303,0.044744115,0.009144245,0.992702,0.0
3393136,0.9994504,9.99661e-07,5.0,0.015421567,0.0025259599,1.429211e-05,0.4754128602500714,0.073296501012519,0.0,0.47541286388533976,2997.68,0.00013217716,0.023757342,0.0012369975,0.037988387,0.047758065,0.011268377,0.99125886,0.0
3394137,0.99944794,9.996605e-07,5.0,0.015832618,0.002496177,-2.6626845e-05,0.43732902242623417,0.07474102056140611,0.0,0.43732902142035146,3263.1666666666665,0.00021441178,0.027795475,0.001210687,0.039214496,0.04781649,0.010157189,0.9934087,0.0
3395137,0.9994459,9.996604e-07,5.0,0.020258313,0.0024105315,-3.2220545e-05,0.5557678243194459,0.08554052520109205,0.0,0.5557678253496312,3593.2916666666665,0.00010070555,0.022507384,0.0011560591,0.038067684,0.048931435,0.011009737,0.98927104,0.0
3396137,0.9994409,9.996602e-07,5.0,0.017355455,0.002482458,-2.718051e-05,0.5048955912097881,0.07875698522085176,0.0,0.5048955943532906,3292.2727272727275,8.097447e-05,0.025080541,0.0011942487,0.037335403,0.05376604,0.014538743,0.9873148,0.0
3397136,0.9994418,9.996602e-07,5.0,0.020520719,0.0025016493,9.114008e-06,0.5050031595764589,0.08033839461530724,0.0,0.5050031571775846,3439.935483870968,0.00013478156,0.022510562,0.0012341398,0.037213918,0.05933194,0.0123260915,0.9887088,0.0
3398137,0.99944013,9.996602e-07,5.0,0.01304434,0.002380003,2.6932063e-05,0.33717101177343894,0.07554745543089475,0.0,0.3371710192286825,3311.7894736842104,0.0001395104,0.025073063,0.0011539826,0.036690008,0.06517326,0.019687256,0.98736143,0.0
3399137,0.99944276,9.996602e-07,5.0,0.017165152,0.002505972,7.0897886e-06,0.4482693333807633,0.07719325583258813,0.0,0.4482693327241983,3186.0,7.143756e-05,0.024433993,0.0012065477,0.037648782,0.042493887,0.012556621,0.9906262,0.0
3400137,0.99944484,9.996601e-07,5.0,0.016605707,0.00245947,5.5338613e-05,0.383514860892117,0.07454747671888778,0.0,0.38351486260536805,2966.1944444444443,0.0002088754,0.022927428,0.0012096101,0.037354402,0.042762354,0.01194706,0.9919905,0.0
