Steps,Policy/Entropy,Policy/Learning Rate,Environment/Lesson,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/GAIL Value Estimate,Losses/Value Loss,Losses/Policy Loss,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate,Losses/Pretraining Loss,Policy/Extrinsic Reward,Policy/Curiosity Reward,Policy/GAIL Reward,Environment/Cumulative Reward,Environment/Episode Length
75000,1.404807,9.9999255e-05,0.0,-0.1208583,0.007657939,0.040109772,0.0017532296,0.023449963,0.003223519,0.021360392,0.079761155,0.029594185,0.9794285,0.0,-0.4361036776290923,0.027742352011597853,0.17681433749611267,-0.43610367876067224,424.55056179775283
76000,1.4033684,9.999924e-05,0.0,-0.12757035,0.0076825884,0.040093552,0.0024028714,0.02244972,0.0032054724,0.0231337,0.09327434,0.035048593,0.9772441,0.0,-0.476395575124061,0.026381674054428005,0.1683230646268058,-0.47639557659570714,395.26
77000,1.4024678,9.999924e-05,0.0,-0.13526568,0.0069863647,0.039985966,0.0023444272,0.024977056,0.0030670804,0.022212021,0.07950245,0.029548516,0.9807226,0.0,-0.5013514441521826,0.02640672232215972,0.16186760890795285,-0.5013514468913356,410.6875
78000,1.4012973,9.999924e-05,0.0,-0.11623583,0.006837775,0.042176414,0.0019921372,0.025215853,0.0030816866,0.023291875,0.09150024,0.033938147,0.9763483,0.0,-0.48353610049625434,0.025244927203927476,0.18288803890343702,-0.48353609914452017,405.09615384615387
79000,1.4014008,9.9999226e-05,0.0,-0.10018629,0.0067471545,0.03974625,0.0021053173,0.024366632,0.0030892647,0.023500659,0.089011535,0.03398575,0.9790535,0.0,-0.4080380877527086,0.02492495353900544,0.1578899950581725,-0.40803808367011385,391.4130434782609
80000,1.4011018,9.999922e-05,0.0,-0.08000737,0.006024149,0.042760327,0.0018347086,0.01944049,0.0030450984,0.022793822,0.09219794,0.034945622,0.9773154,0.0,-0.26548814211293004,0.02692848667574413,0.19639696099794138,-0.26548814562494066,429.41237113402065
81000,1.400926,9.999918e-05,0.0,-0.04140737,0.0057645785,0.04860874,0.002286457,0.024205007,0.0030797431,0.025372945,0.105492644,0.03944945,0.9727247,0.0,-0.15372489473552378,0.024352218965650537,0.21694153409455338,-0.15372489385815333,386.37
82000,1.4002805,9.999917e-05,0.0,-0.056750555,0.0063409903,0.04730832,0.0021361988,0.025332341,0.003045227,0.026924891,0.103656165,0.03868042,0.97478247,0.0,-0.20038217808983955,0.023739967128549155,0.19491755635246635,-0.20038217725545168,380.01869158878503
83000,1.3997306,9.999916e-05,0.0,-0.04655714,0.0059236954,0.05102221,0.003142557,0.02655758,0.0030350427,0.027515344,0.10653886,0.039890755,0.9728996,0.0,-0.2445023811849061,0.021751354694374482,0.18694032744714748,-0.244502382625828,348.87931034482756
84000,1.3998648,9.9999146e-05,0.0,-0.042244922,0.0059676976,0.049448125,0.0025613317,0.022733618,0.0030071845,0.026973387,0.10441995,0.038719684,0.9730488,0.0,-0.23348665572657223,0.024101869175234353,0.18000703095891907,-0.23348665504099084,390.2040816326531
