Steps,Policy/Entropy,Policy/Learning Rate,Environment/Lesson,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/GAIL Value Estimate,Policy/Extrinsic Reward,Policy/Curiosity Reward,Policy/GAIL Reward,Environment/Cumulative Reward,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate
2266046,1.039086,9.9999976e-05,5.0,0.06006204,0.003958577,0.00020547007,0.7554288899662103,0.06423511627123363,0.0,0.7554288885776242,1515.8823529411766,0.00020879676,0.024055887,0.0020611049,0.057363678,0.09120855,0.019489646,0.98152393
2267047,1.039261,9.999998e-05,5.0,0.048272155,0.004448544,0.00030877948,0.6520022983953823,0.06461335677304306,0.0,0.6520022975367397,1565.7,0.00028203905,0.024489634,0.0019951377,0.058520272,0.073412955,0.019924996,0.98157305
2268046,1.0386167,9.9999976e-05,5.0,0.04895953,0.0044689933,-0.00021823472,0.6906668076505108,0.060608590824510124,0.0,0.6906668032882853,1427.2916666666667,0.00027319923,0.023103945,0.00207158,0.058082413,0.059699625,0.016257083,0.9871912
2269046,1.0374509,9.9999976e-05,5.0,0.05045439,0.00433092,-0.0005852487,0.6563246857699458,0.0588846886283577,0.0,0.6563246840256246,1375.4848484848485,0.0003113539,0.027144624,0.0021304034,0.059768572,0.07446444,0.017811995,0.98734146
2270047,1.0371959,9.999998e-05,5.0,0.038969446,0.004410556,-0.00046474906,0.2945013375880846,0.0576237836013254,0.0,0.29450134458650273,1287.7368421052631,0.00048276043,0.024359364,0.002075489,0.05614076,0.055198234,0.014880291,0.98628527
2271046,1.0366229,9.9999976e-05,5.0,0.054532774,0.00442395,-0.0002853512,0.637636715597565,0.05964770694615589,0.0,0.6376367149635126,1418.6052631578948,0.00026741953,0.022138417,0.002001004,0.059660394,0.058163285,0.015877835,0.9860228
2272046,1.0368049,9.9999976e-05,5.0,0.0477696,0.0043783505,-0.00010940769,0.7986639919330819,0.06554429498991292,0.0,0.7986639959756722,1557.6842105263158,0.00012534215,0.023722488,0.0020078756,0.059593156,0.054021917,0.013576819,0.98520094
2273046,1.0361199,9.9999976e-05,5.0,0.04494524,0.004028793,0.0003626095,0.45601246457681555,0.05902702383536962,0.0,0.45601245914425625,1424.125,0.00046284875,0.023780247,0.0019577194,0.057172067,0.050798368,0.014066707,0.9884677
2274047,1.0352844,9.999998e-05,5.0,0.044529095,0.004072422,0.00052634196,0.5797337037422593,0.06085319222841898,0.0,0.5797337027223055,1443.0869565217392,0.00034713952,0.02286543,0.0020165667,0.05809496,0.058473483,0.01408023,0.983672
2275047,1.0351199,9.9999976e-05,5.0,0.05075365,0.004121643,0.0003506155,0.6484523120950232,0.06160648034194544,0.0,0.6484523078860155,1470.483870967742,0.00027241994,0.023228347,0.0019686408,0.05526742,0.0644493,0.015300271,0.98358065
2276046,1.0350612,9.9999976e-05,5.0,0.04705695,0.0034194319,-0.000105351835,0.4305252526621299,0.057652875389480454,0.0,0.43052525346840387,1327.909090909091,0.00050726865,0.021782551,0.0020606534,0.053867385,0.063115865,0.017685227,0.98775744
2277046,1.0355936,9.9999976e-05,5.0,0.032294136,0.0035061266,0.00027742452,0.7439035248194399,0.06615241149464916,0.0,0.7439035285721047,1620.0,0.0003242617,0.025143048,0.002063042,0.052707326,0.05515681,0.0151112825,0.98825616
2278047,1.0356475,9.999998e-05,5.0,0.031826954,0.0036131467,0.0008799443,0.45928961414271424,0.06528411734567878,0.0,0.459289617458019,1496.8333333333333,0.00022634618,0.024664488,0.0020838252,0.054690726,0.087852135,0.016863648,0.9751213
2279046,1.0355858,9.9999976e-05,5.0,0.03187895,0.0036664351,0.0005833891,0.45699642391264206,0.062229570424692196,0.0,0.4569964287201303,1482.6818181818182,0.00021064928,0.025925547,0.0018807785,0.04904214,0.07862782,0.024020374,0.98154444
2280047,1.0357342,9.999998e-05,5.0,0.046077326,0.0038823523,0.00067694683,0.5812567009523909,0.062312587265736394,0.0,0.5812566986265874,1481.967741935484,0.00027489287,0.02627347,0.0019718842,0.052739214,0.053397916,0.015421751,0.9879666
