Steps,Policy/Entropy,Policy/Learning Rate,Environment/Lesson,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/GAIL Value Estimate,Losses/Value Loss,Losses/Policy Loss,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate,Policy/Extrinsic Reward,Policy/Curiosity Reward,Policy/GAIL Reward,Environment/Cumulative Reward,Environment/Episode Length
18000,1.4086695,9.9999976e-05,0.0,-0.24151888,0.009760972,0.14767106,0.0015025674,0.02308923,0.0048200963,0.033016626,0.31120482,0.11881718,0.89992666,-0.9027806433639203,0.05159815322129159,0.7669026481207564,-0.9027806431010204,506.65555555555557
19001,1.40753,9.999998e-05,0.0,-0.23125143,0.009326055,0.15473053,0.0022436704,0.02699378,0.004831299,0.03349103,0.30790573,0.11593551,0.90021116,-0.9357389180513564,0.041514502819045444,0.5653088959222078,-0.9357389155650635,407.91
20000,1.4066373,9.9999976e-05,0.0,-0.241699,0.009220841,0.14935845,0.001856626,0.022027314,0.004792517,0.03382161,0.3086064,0.11873169,0.90242946,-0.8876721337581691,0.04008118563038095,0.5945170732325293,-0.8876721335053103,409.0326086956522
21002,1.4057451,9.999998e-05,0.0,-0.2679316,0.008870873,0.14314044,0.0016662325,0.022521487,0.0044859536,0.032945216,0.2938869,0.10948621,0.90655124,-0.8764134898517989,0.040414535235699815,0.6148811764755414,-0.8764134912738348,422.23148148148147
22000,1.4052883,9.999998e-05,0.0,-0.22147724,0.009260246,0.14326562,0.0019117839,0.02266599,0.004699409,0.03488195,0.27818853,0.10345303,0.9115996,-0.9115317192539552,0.03529785754738462,0.5258937778888477,-0.9115317190373295,361.7093023255814
23000,1.4044019,9.9999976e-05,0.0,-0.23881179,0.009115576,0.13885528,0.0017078609,0.02310764,0.004138055,0.03426633,0.2580316,0.09699277,0.9179952,-0.8836064997519154,0.036521118580326806,0.495003447993062,-0.883606499234207,406.83168316831683
24000,1.4031525,9.9999976e-05,0.0,-0.24879242,0.008856345,0.12750956,0.0017437846,0.024024416,0.004273162,0.03374565,0.2533534,0.09615569,0.9201761,-0.8301280366196422,0.03710746093236498,0.5682019099715322,-0.8301280372309328,409.4526315789474
25000,1.4019927,9.9999976e-05,0.0,-0.2462909,0.009302779,0.12913813,0.0015514955,0.022408148,0.00426651,0.032828692,0.24066149,0.089900784,0.92523795,-0.9675219977303038,0.038317531534324115,0.45287661492027304,-0.967521996781736,433.12359550561797
26000,1.4012256,9.9999976e-05,0.0,-0.23909263,0.008125747,0.12313544,0.001494766,0.021801751,0.0040086126,0.03431257,0.24033345,0.09261189,0.9244698,-0.837676571329105,0.03729355003876359,0.5395312155055763,-0.837676570674977,430.75
27000,1.400913,9.9999976e-05,0.0,-0.23921719,0.008212333,0.124561325,0.0021448925,0.024736337,0.004214958,0.03557033,0.23734932,0.09158534,0.9253347,-0.9125746193257728,0.03455833891987644,0.4510379639596917,-0.9125746161063533,396.5420560747664
