Steps,Policy/Entropy,Policy/Learning Rate,Environment/Lesson,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/GAIL Value Estimate,Policy/Extrinsic Reward,Policy/Curiosity Reward,Policy/GAIL Reward,Environment/Cumulative Reward,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate
2694376,1.0463365,9.997307e-07,5.0,0.022939118,0.0027690667,-2.260502e-05,0.7551482614580264,0.0874716477771691,0.0,0.7551482587522608,3468.4827586206898,8.194207e-05,0.023493852,0.0013835011,0.04731066,0.037574127,0.009467255,0.99192685
2695376,1.0463405,9.997304e-07,5.0,0.02077101,0.0027885442,6.101602e-06,0.7170203990310535,0.09134935550817037,0.0,0.7170204057554357,3703.4615384615386,9.4410476e-05,0.025438841,0.0013442666,0.047515992,0.13759932,0.018758025,0.9889878
2696376,1.0463331,9.997303e-07,5.0,0.017078014,0.0027171334,1.234428e-05,0.4814139351109258,0.09349573527685028,0.0,0.48141393061713883,3695.8636363636365,6.3521344e-05,0.023285203,0.0012779781,0.045025736,0.07825162,0.024057813,0.9889049
2697376,1.0463252,9.997303e-07,5.0,0.018622957,0.0026335635,1.3468633e-05,0.6160665318368501,0.08409452121486538,0.0,0.6160665357170132,3294.375,5.415865e-05,0.023489045,0.0012375425,0.04759975,0.0607872,0.01719755,0.99206597
2698376,1.0463198,9.997302e-07,5.0,0.020686317,0.002684144,-3.2607636e-06,0.5591440756011252,0.08937860100195394,0.0,0.5591440831393324,3546.0,7.5006574e-05,0.024979882,0.001331588,0.046782732,0.074472815,0.016130244,0.98854315
2699376,1.0463289,9.997302e-07,5.0,0.024521366,0.0028603412,-1.4617059e-05,0.7562489614106396,0.0902720975079675,0.0,0.7562489668822548,3324.8260869565215,0.00010352086,0.024070194,0.0014259483,0.049843274,0.057360902,0.013557623,0.9825189
2700376,1.0463378,9.997302e-07,5.0,0.02347304,0.0028103106,-4.100108e-06,0.7302438132183701,0.09230970506299248,0.0,0.7302438056174024,3412.8333333333335,7.724445e-05,0.022439707,0.001302657,0.049430557,0.04311752,0.011503502,0.99119914
2701377,1.0463442,9.997301e-07,5.0,0.022359965,0.0027201485,6.461797e-07,0.7616933232609602,0.08410539347656035,0.0,0.7616933239269549,3123.0,7.5202974e-05,0.024519872,0.0013107146,0.04835861,0.03302801,0.009498761,0.994044
2702376,1.0463449,9.997299e-07,5.0,0.021047538,0.002761405,5.1843735e-06,0.6171244549581388,0.08460922128870152,0.0,0.6171244513681182,2893.05,9.085116e-05,0.024088247,0.0013810034,0.047514316,0.040145375,0.01025287,0.99308485
2703376,1.0463389,9.997295e-07,5.0,0.013285682,0.0026832828,8.433697e-06,0.2330928662836197,0.08517565905293893,0.0,0.23309286454965988,3003.8571428571427,0.00017736744,0.022627706,0.001271886,0.044146843,0.026561376,0.006886146,0.99493665
