Steps,Policy/Entropy,Policy/Learning Rate,Environment/Lesson,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/GAIL Value Estimate,Losses/Value Loss,Losses/Policy Loss,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate,Policy/Extrinsic Reward,Policy/Curiosity Reward,Policy/GAIL Reward,Environment/Cumulative Reward,Environment/Episode Length
3024801,0.96673447,9.996976e-07,5.0,0.018757112,0.0022331956,2.838696e-05,0.00012843702,0.022500299,0.001075996,0.032331444,0.05089191,0.014233865,0.9886116,0.45296091746485734,0.07408773496306663,0.0,0.45296091697026086,3207.4347826086955
3025801,0.9667427,9.996975e-07,5.0,0.017213501,0.0022413037,-1.7598575e-05,0.00019999118,0.022272073,0.0010885489,0.032484703,0.045543894,0.012871625,0.9902548,0.3684181542270153,0.062498333511484816,0.0,0.36841815034532144,2761.375
3026802,0.9667411,9.996974e-07,5.0,0.012310406,0.0022867965,5.609611e-06,0.00024250659,0.02248797,0.0011301648,0.03356222,0.038613647,0.0099980775,0.99279916,0.2663552897246173,0.06666430828396376,0.0,0.2663552840996627,2930.9310344827586
3027801,0.9667394,9.996972e-07,5.0,0.01571869,0.0023039544,-3.976657e-05,0.00013027903,0.026943615,0.0011179709,0.033133537,0.042894464,0.009720878,0.99047315,0.43667365457134255,0.06887839156613489,0.0,0.43667365499145383,2981.7894736842104
3028801,0.96673745,9.996972e-07,5.0,0.012977634,0.0023456088,-4.464065e-05,0.0001723245,0.024675883,0.0010910577,0.031853452,0.045730017,0.012844183,0.99227834,0.26772669334274757,0.06796002002805902,0.0,0.2677266829625436,2993.222222222222
3029801,0.96674246,9.996971e-07,5.0,0.011241163,0.0020849346,-2.2615846e-05,0.00011608711,0.022823153,0.0010007729,0.03083953,0.04334403,0.009555626,0.9901085,0.3675406348206161,0.0698552171944175,0.0,0.36754063654040037,2992.28
3030801,0.9667419,9.996968e-07,5.0,0.014885341,0.0020671685,-2.1753696e-05,0.00012041262,0.022030415,0.0010075916,0.03111682,0.037655924,0.00917208,0.9906553,0.38161493334834967,0.06830559846314013,0.0,0.3816149393708944,2991.5263157894738
3031801,0.96673405,9.996968e-07,5.0,0.020846987,0.0021309599,3.842197e-05,0.00010382902,0.02185441,0.001039463,0.03172483,0.05180266,0.013704413,0.99251455,0.7066374956805573,0.07815501887931273,0.0,0.7066374970207254,3515.8928571428573
3032801,0.9667202,9.996967e-07,5.0,0.012939297,0.0020866832,2.0691738e-07,0.00012030627,0.023061123,0.0010422431,0.030491821,0.03983721,0.010888568,0.9934685,0.2889821661560943,0.06422310985647567,0.0,0.28898216490573064,2832.5652173913045
3033801,0.9667184,9.996967e-07,5.0,0.018025024,0.0022589965,-1.7457947e-05,0.00014355854,0.022466704,0.0011326061,0.031703606,0.03508687,0.008416724,0.9923557,0.442137430622975,0.06990181155611183,0.0,0.4421374295659171,3139.448275862069
3034802,0.96671563,9.996967e-07,5.0,0.019068638,0.0023930625,-1.09591665e-05,0.00014659784,0.024212936,0.0011957532,0.033615936,0.047534198,0.011249317,0.9915951,0.47061075269340547,0.07120563373340431,0.0,0.4706107474323734,3107.8518518518517
3035801,0.96670353,9.996965e-07,5.0,0.018759621,0.002330796,-3.0425703e-05,0.00012288324,0.022331208,0.0010746912,0.03338696,0.03763385,0.0088547915,0.9905447,0.6078195508112416,0.07614302807831502,0.0,0.6078195470268881,3418.909090909091
3036802,0.9666959,9.996965e-07,5.0,0.012880204,0.0021557605,-5.771834e-05,0.00016972594,0.023967315,0.0010525815,0.03129521,0.04325015,0.010886873,0.9919025,0.36149691291484487,0.06739847594872117,0.0,0.36149691846045706,2952.5833333333335
3037801,0.96669495,9.996963e-07,5.0,0.01425486,0.002167043,-1.9445188e-05,0.000113895825,0.02234469,0.0010254768,0.031266443,0.03863278,0.010142634,0.99414617,0.5732703235549447,0.07483735893973582,0.0,0.5732703205619856,3353.0
3038801,0.9666873,9.996963e-07,5.0,0.012974669,0.0021223603,-3.3417775e-05,0.00013954642,0.023211135,0.0010128273,0.030104054,0.17849033,0.033769596,0.995017,0.41781719582771376,0.0752237125755831,0.0,0.41781719138623336,3450.074074074074
